Rule_Type,Rule
Schedule Validity,"Ignore any schedule that is marked as deleted. It does not exist for processing purposes."
Schedule Validity,"Only process schedules of type CCCAP Authorized or Drop In. Skip Private Pay and Not Authorized schedules entirely."
Schedule Validity,"A schedule date must fall within the service period window being processed. Dates outside that window do not belong to this run."
Schedule Validity,"The schedule must be linked to an authorization that is part of your current working set. Skip schedules tied to unknown auths."
Schedule Validity,"If the schedule denial reason is fiscal agreement not valid, auth status not approved, auth end date in the past, or auth begin date in the future — treat authorized hours as zero for that day. It is a Care Not Offered day."
Authorized Hours,"Always use the CI_Authorization_Hours field from the schedule as the authorized hours for the day. This is the CHATS-computed value."
Authorized Hours,"If authorized hours is zero the provider did not offer care that day. This is not an absence — the provider simply was not scheduled."
Authorized Hours,"Never use the raw device hours field for authorized hours. It is only a fallback for computing attended duration when the attendance hours field is blank."
Authorized Hours,"The rate type on the schedule tells you which rate tier to use when looking up the payment dollar amount."
Authorized Hours,"If the schedule is marked as overnight care it spans midnight. Use the provider start and end timestamps to split hours across the two calendar days it covers."
Transaction Validity,"A voided transaction does not count for anything. Ignore it completely."
Transaction Validity,"Only transactions with status Parent Approved or Pending Provider count as attendance. Parent Rejected and Parent Pending statuses do not count as confirmed attendance."
Transaction Validity,"Only transactions with a result of 1 (approved/success) count. Any other result means the transaction was denied or errored."
Transaction Validity,"The transaction must be linked to the schedule you are currently processing. A mislinked transaction belongs to a different context."
Transaction Validity,"If a transaction was denied because no drop-in days remained it does not count as attendance and does not consume the drop-in allowance. Flag it as a denial event."
Transaction Validity,"If a transaction was denied because the authorization had no valid hours at swipe time it does not count as attendance."
Transaction Validity,"Orphan drop-in transactions have no parent schedule. Match them to an authorization using the orphan date plus client and provider. Create a synthetic drop-in day entry and process it like any other drop-in."
Transaction Type,"A transaction of type 1 with sub-type CCCAP is a check-in for authorized care."
Transaction Type,"A transaction of type 2 with sub-type CCCAP is a check-out. Pair it with the matching check-in to compute attended hours."
Transaction Type,"A transaction of type 1 or 3 with sub-type Drop In is a drop-in check-in. It triggers a drop-in allowance check."
Transaction Type,"A transaction of type 2 or 4 with sub-type Drop In is a drop-in check-out. Pair it with the drop-in check-in."
Transaction Type,"A transaction with sub-type CCCAP Not Authorized means the child tried to check in but is not authorized at that provider. Do not count it as attendance."
Transaction Type,"A transaction with sub-type Private Pay is the family paying the provider directly. It has nothing to do with CCCAP — exclude it from all calculations."
Transaction Type,"System-generated transactions follow the same validity rules as any other transaction. Apply the same result and status checks."
Transaction Type,"Parent-entered transactions only count if the parent also approved them."
Transaction Type,"Provider-entered transactions are valid if their status is either Pending Provider or Parent Approved."
