Rule_Type,Rule
Eligibility - Auth,"An authorization must be active on the payment day. The auth begin date must be on or before the day and the auth end date must be blank or on or after the day. If not, skip this auth for this day."
Eligibility - Auth,"The provider must have a valid fiscal agreement for the county on the payment day. The FA begin date must be on or before the day and the FA end date must be blank or on or after the day."
Eligibility - Auth,"If the child enrollment status is Neutral or Declined, do not pay any absences for that child. Regular and drop-in payments still apply."
Eligibility - Auth,"If a sub-payment already exists for this auth and service period combination with status Paid or Requested, skip this auth. Do not generate a duplicate sub-payment."
Eligibility - Auth,"The auth status must be Authorized (code 2). Terminated auths (code 4) are not eligible for payment."
Per-Day Context,"Check if the date is a Holiday by comparing it against the county holiday list. The holiday list comes from the county rate plan."
Per-Day Context,"Check if the date is an Observed Holiday. Observed Holiday has different payment behavior from a regular Holiday — they are two separate classifications."
Per-Day Context,"Check if an Occupied Slot Contract is active on this day. A slot contract is active when its begin date is on or before the day and its end date is blank or on or after the day. If a slot contract is active, use the Slot Contract payment path. Otherwise use the Regular payment path."
Per-Day Context,"Get the authorized hours for the day from the schedule record. Zero means the provider did not offer care that day."
Per-Day Context,"Get the attended hours for the day from approved transaction records. If no approved transaction exists, attended hours is zero."
Per-Day Context,"Determine the child age bracket. If the 0-36 month enrollment flag is set on the auth, the child is in the enrollment path. This flag can change mid-service period — evaluate it per day, not just at the auth header level."
Regular Path,"If authorized hours is zero and attended hours is zero, the payment type is Care Not Offered. The provider did not schedule care and the child did not attend. Unit Paid is NP."
Regular Path,"If authorized hours is zero and attended hours is greater than zero, check the drop-in allowance. If drop-in allowance remains, the payment type is Drop In. If the allowance is exhausted, Unit Paid is NP."
Regular Path,"If authorized hours is greater than zero and attended hours is greater than zero, the payment type is Regular with additional info blank. Compute Unit Paid from hours."
Regular Path,"If authorized hours is greater than zero, attended hours is zero, and the child is over 36 months old, check the county absence allowance. If allowance remains, the payment type is Absence. If the allowance is exhausted, Unit Paid is NP."
Regular Path,"If authorized hours is greater than zero, attended hours is zero, and the child is under 36 months old, check the county absence allowance. If allowance remains, the payment type is Absence. If the allowance is exhausted, the payment type is Enrollment Absence and the provider is still paid. It never becomes NP for under-36-month children when authorized hours are greater than zero."
Slot Contract Path,"If an occupied slot contract is active, authorized hours is greater than zero, and attended hours is greater than zero, the payment type is Slot Contract Regular."
